city,district,size_m2,rooms,year_built,rent_chf,floor,has_balcony,distance_to_station_m
Genf,Champel,58,2.5,1996,1870,11,True,491
Winterthur,Oberwinterthur,76,2.5,1955,1660,6,False,346
Basel,Bachletten,55,2.0,1975,1540,9,False,714
Genf,Eaux-Vives,69,3.0,1953,1860,9,True,476
Bern,Kirchenfeld,133,5.5,2003,3140,2,True,525
Genf,Pâquis,69,3.0,1986,2230,2,True,354
Zürich,Kreis 11,77,3.5,2020,2540,11,True,623
Genf,Carouge,136,5.5,1954,3600,5,False,417
Basel,Altstadt,54,1.5,1957,1340,2,False,337
Winterthur,Altstadt,77,3.5,1954,1480,12,False,537
Zürich,Kreis 6,105,4.0,1990,3550,7,False,523
Lugano,Centro,70,3.0,1996,1640,6,True,450
Winterthur,Altstadt,88,3.0,1964,1490,8,False,1120
Basel,Altstadt,55,1.5,1976,1400,4,False,1088
Bern,Kirchenfeld,43,1.5,1953,1090,6,False,548
Bern,Mattenhof,44,1.5,1986,1090,5,True,906
St. Gallen,Riethüsli,163,6.0,1949,2020,9,False,1750
St. Gallen,St. Fiden,92,3.5,1985,1930,5,True,521
Winterthur,Oberwinterthur,89,4.0,1959,1760,3,True,436
Basel,St. Johann,56,2.0,1977,1570,6,True,441
Zürich,Kreis 4,49,2.5,1988,1610,3,False,459
Lugano,Centro,77,3.0,1974,1850,6,True,535
Winterthur,Altstadt,64,3.0,1964,1310,1,False,737
Winterthur,Wülflingen,70,2.5,1933,1410,4,False,447
Bern,Breitenrain,70,2.5,1927,1670,4,True,832
Zürich,Kreis 4,102,4.0,2004,3170,3,False,415
Lugano,Centro,72,2.5,1981,1610,4,True,2499
Genf,Plainpalais,107,4.0,1999,2750,3,False,293
St. Gallen,St. Fiden,109,4.5,1998,1790,4,True,588
Winterthur,Oberwinterthur,88,3.5,1911,1790,4,True,807
Lugano,Cassarate,102,4.5,1920,1780,4,True,191
Zürich,Kreis 8,135,5.5,1984,3290,4,False,653
Genf,Plainpalais,72,3.0,1943,2180,6,True,571
Zürich,Kreis 5,93,4.0,1965,2750,4,False,201
Lausanne,Chailly,56,2.5,1992,1480,2,True,515
Bern,Bümpliz,86,4.0,1967,2030,5,True,740
Basel,Kleinbasel,80,3.5,1988,2080,6,False,529
Basel,Kleinbasel,66,2.0,1988,1590,3,True,665
Basel,Bachletten,69,3.0,1927,1500,8,False,332
Genf,Eaux-Vives,155,6.5,1936,4020,9,True,494
Bern,Kirchenfeld,73,3.0,1994,1680,1,False,360
Winterthur,Oberwinterthur,79,2.5,1968,1490,1,False,383
Genf,Champel,64,2.0,2006,1970,3,True,595
St. Gallen,Centrum,69,2.5,1937,1400,2,True,552
Lausanne,Ouchy,84,3.5,1962,2030,4,False,305
Lausanne,Sévelin,138,5.5,1973,2600,9,False,1129
Bern,Bümpliz,65,3.0,1978,1590,3,False,1216
Bern,Breitenrain,92,3.5,1972,2220,8,True,554
Zürich,Kreis 7,47,1.5,2006,1790,5,False,514
Bern,Länggasse,74,3.0,1981,1780,1,True,533
Basel,Gundeldingen,84,3.0,1963,2210,10,True,328
Lugano,Molino Nuovo,139,5.0,1980,2380,1,True,435
Lausanne,Sévelin,46,2.0,2000,1370,1,True,888
Lausanne,Ouchy,60,2.5,1998,1460,3,False,335
Genf,Champel,50,2.0,2005,1640,10,True,836
Lausanne,Sous-Gare,95,3.5,1975,2240,3,True,653
Genf,Eaux-Vives,76,3.0,2012,2410,1,True,484
Bern,Kirchenfeld,78,3.5,2007,1950,2,True,532
Lausanne,Sévelin,77,3.0,1980,2140,4,True,372
St. Gallen,Riethüsli,58,2.0,1962,1310,4,True,366
Winterthur,Wülflingen,96,3.5,1970,1640,10,True,1289
Zürich,Kreis 6,48,1.5,1949,1830,2,False,390
Bern,Mattenhof,48,2.0,1983,1180,3,True,248
Lugano,Besso,118,5.0,1911,1930,11,False,217
Basel,Altstadt,67,3.0,1994,2080,7,True,605
Zürich,Kreis 6,107,4.5,1945,2710,2,True,876
Basel,Altstadt,80,3.0,1976,1990,2,True,206
Basel,Gundeldingen,59,2.5,1916,1240,5,False,1037
St. Gallen,Bruggen,58,2.0,1940,1180,6,False,503
Lausanne,Sévelin,82,3.5,1943,2040,2,True,694
St. Gallen,Centrum,80,3.0,1959,1380,8,False,377
Winterthur,Töss,74,3.5,1954,1350,5,False,671
Zürich,Kreis 8,61,2.0,1959,2110,8,True,813
Bern,Bümpliz,39,1.0,1965,960,9,True,464
Lausanne,Sévelin,60,2.0,2013,1430,4,True,771
Zürich,Kreis 1,60,2.5,1976,2000,5,False,283
Genf,Servette,74,3.0,1920,1760,5,False,505
St. Gallen,Riethüsli,53,2.5,2012,1160,8,False,261
Lugano,Cassarate,81,3.0,1993,1260,1,False,364
Lausanne,Sévelin,86,3.5,1998,2020,1,True,1024
Lausanne,Flon,127,5.0,1967,2660,1,False,1548
Lausanne,Sévelin,54,2.5,1981,1510,8,False,340
Lugano,Besso,72,3.0,1955,1710,11,True,536
St. Gallen,Bruggen,77,3.0,1979,1620,5,False,453
Zürich,Kreis 3,101,3.5,1975,2860,4,True,485
Winterthur,Wülflingen,83,3.0,1947,1860,1,True,466
Basel,St. Johann,87,3.0,1982,1860,6,True,769
Basel,Kleinbasel,79,3.5,2005,2330,3,False,393
Winterthur,Altstadt,91,4.0,1992,1870,7,False,405
Bern,Kirchenfeld,119,5.0,1981,2140,7,False,1049
Basel,Kleinbasel,96,4.0,1953,1980,7,False,764
Zürich,Kreis 8,47,1.5,1942,1660,8,True,522
Lausanne,Sévelin,79,3.5,1974,2110,4,True,688
Lugano,Cassarate,59,2.0,1996,1500,3,True,297
Bern,Länggasse,49,2.0,1989,1170,4,False,305
Zürich,Kreis 4,127,5.0,1978,3610,5,False,318
Winterthur,Altstadt,102,4.5,1929,1660,7,False,490
Winterthur,Altstadt,93,3.5,1947,2520,5,True,188
Winterthur,Altstadt,51,2.5,2003,1110,6,True,409
Genf,Eaux-Vives,62,3.0,2007,2070,5,True,1236
St. Gallen,Riethüsli,76,3.5,1989,1880,2,True,619
Zürich,Kreis 5,113,5.0,1978,2930,2,True,652
St. Gallen,St. Fiden,134,5.5,1974,2350,6,True,440
Basel,St. Johann,135,5.0,1981,2680,8,False,363
Winterthur,Wülflingen,111,5.0,2009,2350,3,False,680
Lausanne,Ouchy,56,2.5,1921,1420,9,True,1151
Zürich,Kreis 4,110,4.5,1983,3410,8,True,571
Zürich,Kreis 8,50,1.5,1975,1670,1,False,222
Winterthur,Wülflingen,66,2.5,1947,1020,7,True,890
Basel,Bachletten,91,3.5,1961,2010,10,True,813
Lausanne,Flon,54,2.5,1963,1440,5,False,334
Zürich,Kreis 6,63,2.0,1980,2000,5,False,632
Zürich,Kreis 4,45,2.0,1973,1410,2,False,543
St. Gallen,Riethüsli,49,1.5,1954,810,2,False,358
Lausanne,Flon,45,2.0,1976,1310,3,True,383
Bern,Mattenhof,48,2.5,1941,980,5,False,136
St. Gallen,Riethüsli,89,4.0,1961,1800,5,False,543
Bern,Länggasse,65,2.5,1978,1480,9,False,469
Genf,Champel,74,2.5,1983,2750,3,True,497
Bern,Kirchenfeld,61,2.5,1968,1460,2,True,164
Lausanne,Ouchy,66,2.0,1988,1900,4,True,392
Lausanne,Flon,94,3.5,1998,1980,5,True,365
Zürich,Kreis 1,75,3.0,1934,2280,7,False,467
Winterthur,Wülflingen,68,2.0,1991,1600,10,True,208
Basel,Bachletten,60,2.5,2001,1420,6,False,286
Basel,St. Johann,87,3.5,1924,1740,3,True,383
Zürich,Kreis 7,130,5.0,2013,4730,4,True,450
Lausanne,Chailly,72,3.5,1933,1560,10,False,528
Winterthur,Oberwinterthur,73,3.0,1991,1480,5,True,148
Zürich,Kreis 7,53,2.0,1976,1770,3,False,477
Genf,Carouge,88,3.5,1927,2110,7,False,263
Basel,St. Johann,46,2.0,2002,1270,2,True,558
Lugano,Molino Nuovo,63,3.0,1931,1460,4,True,361
Genf,Eaux-Vives,64,2.5,2003,2060,3,True,436
Basel,Kleinbasel,62,2.0,2002,1690,5,False,732
Basel,St. Johann,102,4.0,1955,2220,3,True,853
Genf,Eaux-Vives,91,3.5,2010,2640,3,True,1126
Basel,Bachletten,68,3.0,1932,1810,6,True,285
Lausanne,Sous-Gare,90,3.0,2014,2300,2,True,400
Winterthur,Töss,64,2.0,1976,1390,8,False,147
Genf,Plainpalais,120,5.0,1973,3630,9,True,401
Genf,Plainpalais,111,5.0,1940,2540,2,True,229
Lausanne,Ouchy,58,2.5,1983,1600,5,False,896
St. Gallen,Bruggen,136,6.0,1982,2080,4,False,430
Genf,Pâquis,77,3.5,1984,2050,4,True,1127
Zürich,Kreis 6,80,3.0,1912,2240,4,False,402
Winterthur,Altstadt,86,3.5,1979,2130,2,True,760
Bern,Bümpliz,92,4.0,1923,1660,3,True,661
Lausanne,Ouchy,56,2.0,1967,1700,9,False,369
Lugano,Molino Nuovo,114,4.0,1918,2740,5,False,740
Bern,Bümpliz,39,1.5,1966,930,6,False,350
Lugano,Besso,98,4.0,1951,1600,5,True,424
Winterthur,Oberwinterthur,51,2.0,1944,1010,4,False,242
Zürich,Kreis 1,79,3.5,1969,2260,5,False,445
Lausanne,Sous-Gare,50,2.5,2007,1650,10,True,568
Genf,Eaux-Vives,84,3.0,1955,2330,7,True,280
Basel,St. Johann,80,2.5,2010,2160,10,True,487
Basel,St. Johann,84,3.5,2005,2200,6,True,315
Winterthur,Töss,52,1.5,1954,1070,5,False,1193
Basel,Bachletten,83,3.0,1945,2050,5,False,755
Basel,St. Johann,115,4.5,1937,2580,4,False,317
Genf,Carouge,155,6.5,1962,3830,1,True,891
Zürich,Kreis 5,92,4.0,2009,2940,5,False,239
Winterthur,Altstadt,97,3.5,1965,1750,11,False,831
Lugano,Molino Nuovo,77,3.0,1923,1270,0,False,351
Lausanne,Ouchy,70,3.0,1920,1960,8,True,350
Genf,Servette,108,4.0,1986,3030,4,False,1130
Zürich,Kreis 4,96,4.0,1990,3260,2,False,280
Lugano,Molino Nuovo,104,4.5,1966,2220,9,False,327
Zürich,Kreis 4,84,3.0,1938,2360,4,False,695
Genf,Plainpalais,57,2.0,1956,1800,6,True,660
Genf,Carouge,49,2.0,1940,1290,1,False,160
Lausanne,Flon,72,2.5,1978,1440,3,False,1180
Lausanne,Sous-Gare,82,4.0,2009,2200,2,False,531
Zürich,Kreis 1,72,3.5,2003,2710,5,True,177
Zürich,Kreis 1,64,2.5,1991,2380,4,True,773
St. Gallen,St. Fiden,84,3.5,1989,1690,4,True,295
Bern,Breitenrain,115,5.0,1928,2150,6,True,1694
St. Gallen,Centrum,38,2.0,1928,840,5,False,529
Lausanne,Sous-Gare,121,4.5,1980,3300,2,True,415
Winterthur,Wülflingen,116,4.5,1957,2510,8,True,276
St. Gallen,Centrum,122,5.0,1993,1600,3,True,731
Genf,Pâquis,90,3.0,1935,2310,3,True,1255
Lausanne,Chailly,79,3.5,1951,1650,4,False,277
Zürich,Kreis 6,71,2.5,1969,2360,5,True,270
Basel,Kleinbasel,89,4.0,1980,2170,9,False,610
Bern,Länggasse,62,2.5,1977,1350,6,False,638
Genf,Champel,78,3.0,2006,2460,5,False,771
Bern,Breitenrain,85,3.5,1946,2150,7,True,576
Winterthur,Wülflingen,137,6.0,2007,2350,4,True,690
Genf,Plainpalais,66,2.0,1969,2210,5,True,691
St. Gallen,Centrum,120,4.5,1969,1880,6,True,1040
Basel,Gundeldingen,80,3.5,1922,1710,3,True,689
Zürich,Kreis 8,87,3.0,1941,2260,7,True,421
Basel,St. Johann,84,3.0,1927,1560,4,True,303
Basel,St. Johann,114,4.5,1911,2390,2,False,517
Basel,Kleinbasel,129,5.0,2004,2880,5,False,506
Genf,Servette,78,3.0,1997,2450,2,False,1181
Basel,Altstadt,80,3.0,1952,1900,6,True,354
Zürich,Kreis 4,103,4.0,1934,2580,3,True,1090
Winterthur,Wülflingen,107,4.5,1973,2030,10,True,1476
Bern,Länggasse,118,5.0,1966,1850,3,False,995
Zürich,Kreis 3,59,2.5,1984,1810,8,False,395
St. Gallen,St. Fiden,83,3.5,1957,1660,5,False,817
Genf,Servette,81,3.0,1995,2580,4,False,867
Lausanne,Chailly,39,1.5,1991,1160,6,False,693
St. Gallen,Centrum,59,2.5,1931,1230,2,True,520
Zürich,Kreis 8,88,4.0,1996,3280,10,True,733
Zürich,Kreis 4,98,3.5,1968,3100,3,True,466
Winterthur,Töss,112,5.0,1956,1850,7,False,638
Zürich,Kreis 4,94,3.5,1953,2300,3,True,1138
Bern,Länggasse,94,3.5,1974,1990,9,True,739
Lausanne,Sévelin,81,3.5,1925,1960,1,True,1119
Lausanne,Ouchy,79,3.5,1995,2010,5,False,892
Basel,Bachletten,107,4.5,1941,2640,2,True,440
Winterthur,Töss,91,4.0,1981,1810,3,False,301
Genf,Eaux-Vives,56,2.0,1983,1810,5,False,1066
St. Gallen,St. Fiden,84,3.5,1993,1100,5,False,1811
Zürich,Kreis 7,84,3.5,1989,2620,9,False,288
Genf,Servette,63,2.0,1968,1760,11,False,282
Bern,Bümpliz,77,2.5,1976,2060,7,False,863
Lugano,Centro,88,3.5,1970,1880,8,False,481
Lugano,Besso,54,1.5,1946,1010,5,False,807
Winterthur,Altstadt,92,3.5,1976,1940,1,True,280
Genf,Carouge,95,3.5,1966,2780,3,False,470
Genf,Champel,90,4.0,1964,2680,3,False,1483
Zürich,Kreis 7,85,4.0,1983,2820,3,True,265
Bern,Kirchenfeld,121,4.5,1988,2990,7,True,370
Lugano,Cassarate,105,4.0,1967,2700,4,True,597
Zürich,Kreis 8,42,1.5,1988,1620,6,False,582
Winterthur,Wülflingen,103,4.5,1994,2190,1,True,1567
Zürich,Kreis 4,94,4.0,1955,2780,4,False,322
Lausanne,Ouchy,142,6.0,1949,2680,0,False,698
Genf,Pâquis,66,3.0,1987,2030,5,True,346
Zürich,Kreis 11,62,2.0,1975,2200,3,True,759
Basel,Altstadt,65,3.0,1932,1420,2,True,1142
Zürich,Kreis 4,39,1.5,1968,1260,4,True,665
St. Gallen,Riethüsli,68,3.0,1958,1270,3,False,339
Basel,Bachletten,69,2.5,1916,1550,3,True,299
St. Gallen,Riethüsli,53,2.5,1955,1110,9,True,600
Lausanne,Ouchy,60,2.5,1906,1550,3,False,385
Genf,Eaux-Vives,55,2.0,1981,1950,3,True,273
Bern,Kirchenfeld,50,2.0,1918,990,6,False,286
Zürich,Kreis 5,83,3.5,1932,2320,10,True,798
Bern,Mattenhof,76,3.5,1981,1670,4,True,391
Zürich,Kreis 11,54,2.5,2006,2050,1,True,826
Lugano,Molino Nuovo,66,3.0,1951,1560,8,False,893
Zürich,Kreis 3,60,2.5,1939,1550,1,False,511
Zürich,Kreis 6,180,7.5,1925,3600,1,True,746
Bern,Kirchenfeld,54,2.0,1965,1140,3,False,303
Bern,Breitenrain,102,4.5,1973,2210,4,True,487
Basel,Gundeldingen,38,2.0,2009,1160,8,False,181
Genf,Servette,68,3.0,2022,2180,7,False,544
Genf,Pâquis,120,5.0,1962,3070,7,True,1419
Lausanne,Sévelin,65,2.5,1949,1580,4,False,503
Genf,Plainpalais,60,2.0,1966,1640,4,True,764
St. Gallen,St. Fiden,93,3.5,1993,1430,9,True,297
Basel,St. Johann,109,4.5,1926,1950,3,True,309
Bern,Breitenrain,99,3.5,2012,2000,1,False,534
Lausanne,Ouchy,148,6.0,1989,3140,4,True,557
Bern,Bümpliz,69,3.0,1947,1570,8,True,214
Lugano,Cassarate,62,2.5,1996,1140,8,False,573
Basel,Bachletten,36,1.5,1951,1040,6,True,486
Genf,Plainpalais,73,3.0,1924,1690,8,False,322
Bern,Kirchenfeld,90,3.5,1970,2200,4,True,306
Lausanne,Ouchy,97,3.5,1990,2930,4,True,529
Bern,Länggasse,121,5.0,1963,2110,2,True,847
Bern,Mattenhof,69,3.0,1965,1660,5,True,570
Bern,Bümpliz,69,2.5,1928,1570,5,True,1041
Basel,Gundeldingen,75,2.5,1978,2080,5,False,335
Lugano,Cassarate,55,1.5,1984,1250,3,True,1018
Winterthur,Wülflingen,51,1.5,1927,1170,5,True,339
Zürich,Kreis 6,126,5.5,1929,3360,1,False,212
Basel,Gundeldingen,154,6.5,1971,2700,5,True,915
Bern,Mattenhof,95,4.0,1993,2250,6,True,579
Basel,St. Johann,53,2.0,2006,1540,7,True,841
Basel,Gundeldingen,53,2.0,1984,1470,5,True,710
Zürich,Kreis 5,58,2.0,1990,1930,5,False,432
Genf,Servette,92,3.5,2005,2580,3,False,1105
Zürich,Kreis 1,54,2.0,1962,1780,5,True,188
Bern,Länggasse,89,3.0,1909,1670,4,False,211
Lugano,Besso,79,2.5,1976,1830,2,False,616
St. Gallen,St. Fiden,160,6.0,1935,2680,2,False,838
Lugano,Besso,62,2.5,2011,1120,6,False,595
Lugano,Cassarate,53,2.5,1973,1310,3,True,694
Lugano,Centro,66,3.0,1997,1500,3,False,962
Genf,Plainpalais,73,3.0,1937,1830,9,False,960
Zürich,Kreis 1,57,2.5,1930,1850,8,False,391
Winterthur,Wülflingen,61,2.5,1982,1460,4,True,417
Bern,Länggasse,99,4.5,1989,2140,9,False,441
Genf,Pâquis,116,5.0,1983,3460,2,True,452
Lausanne,Ouchy,102,4.0,1968,2740,4,True,721
Zürich,Kreis 8,36,1.0,1973,1290,2,True,921
Zürich,Kreis 11,79,3.5,1922,2010,3,True,1220
Genf,Champel,67,3.0,1963,1780,5,True,384
Lugano,Molino Nuovo,68,2.5,1963,1320,5,False,406
Lausanne,Flon,74,3.0,1933,1680,4,False,522
Bern,Breitenrain,70,3.0,1924,1370,8,False,367
Genf,Carouge,62,2.5,2019,2160,4,True,498
St. Gallen,Riethüsli,54,2.5,1974,980,6,False,239
Bern,Mattenhof,122,5.0,1948,1810,10,True,1649
Lausanne,Sous-Gare,61,2.5,1940,1330,5,True,350
Bern,Breitenrain,55,2.0,1967,1220,4,True,665
Bern,Breitenrain,83,3.5,1982,2110,3,True,217
Winterthur,Töss,69,3.0,2005,1350,2,True,1215
Bern,Kirchenfeld,124,5.0,1968,3230,6,True,188
Zürich,Kreis 8,49,1.5,1956,1630,1,True,570
Genf,Plainpalais,73,3.0,1970,2390,9,True,655
St. Gallen,St. Fiden,60,2.0,1948,1010,7,False,776
Genf,Eaux-Vives,55,2.0,2017,1810,5,False,1604
Winterthur,Wülflingen,89,3.5,1967,1930,11,True,484
Lausanne,Chailly,133,5.0,1958,2840,7,True,643
Bern,Bümpliz,93,3.5,1986,2080,4,False,765
Bern,Länggasse,79,3.0,1923,1440,1,False,853
Basel,St. Johann,113,4.0,1996,2870,5,True,320
St. Gallen,St. Fiden,103,4.5,2006,1970,6,False,687
Zürich,Kreis 3,59,2.5,1963,1930,2,False,513
Winterthur,Wülflingen,76,3.0,1965,1640,2,True,275
St. Gallen,Centrum,101,4.0,1983,1850,4,False,409
Zürich,Kreis 4,90,4.0,1956,2360,4,False,314
Genf,Eaux-Vives,62,2.0,1973,1730,10,False,756
Genf,Servette,46,2.0,1960,1310,5,False,409
Zürich,Kreis 1,82,3.0,1902,1800,9,False,381
Zürich,Kreis 5,101,4.0,2016,3300,3,False,486
Genf,Champel,110,4.5,1987,3170,2,True,784
Zürich,Kreis 1,71,3.0,2016,2570,7,True,402
