route,service_type,cause,start_time,station,delay_min,weather,year
Zürich-Luzern,IC,Infrastruktur,2022-06-23 15:28:00,Luzern,17,klar,2022
Zürich-Schaffhausen,IR,Infrastruktur,2022-06-23 16:42:00,Zürich HB,18,klar,2022
S2 Zürich,S,Infrastruktur,2022-06-23 16:56:00,Effretikon,9,Nebel,2022
S1 Lausanne,S,Infrastruktur,2022-06-23 23:26:00,Lausanne,37,klar,2022
Bern-Biel,IR,Einsteigen,2022-06-24 08:58:00,Bern,6,Regen,2022
Bern-Belp,RE,Einsteigen,2022-06-25 06:09:00,Bern,2,klar,2022
Zürich-Genève,IC,Betrieb,2022-06-25 10:13:00,Zürich HB,2,klar,2022
Lausanne-Brig,IR,Infrastruktur,2022-06-25 20:32:00,Sion,31,klar,2022
Basel-Olten,IC,Anschlusswarten,2022-06-29 07:35:00,Liestal,2,klar,2022
S1 Lausanne,S,Anschlusswarten,2022-06-30 08:54:00,Yverdon,6,Regen,2022
Lausanne-Brig,IR,Einsteigen,2022-06-30 17:35:00,Sion,6,Nebel,2022
Bern-Biel,IR,Infrastruktur,2022-06-30 17:53:00,Biel/Bienne,24,klar,2022
S2 Zürich,S,Betrieb,2022-07-01 07:47:00,Pfäffikon,18,Nebel,2022
Basel-Olten,IC,Betrieb,2022-07-01 10:21:00,Basel SBB,9,klar,2022
Zürich-Chur,IC,Betrieb,2022-07-01 11:06:00,Chur,2,klar,2022
Basel-Lausanne,IC,Extern,2022-07-01 19:14:00,Bern,4,klar,2022
Zürich-Schaffhausen,IR,Betrieb,2022-07-01 20:58:00,Bülach,2,klar,2022
Bern-Brig,IC,Rollmaterial,2022-07-02 07:21:00,Brig,4,klar,2022
Zürich-Luzern,IC,Betrieb,2022-07-02 15:51:00,Luzern,9,klar,2022
Zürich-Genève,IC,Extern,2022-07-02 18:52:00,Genève,21,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-07-05 05:35:00,Bern,2,klar,2022
Zürich-Schaffhausen,IR,Rollmaterial,2022-07-05 07:40:00,Bülach,2,Nebel,2022
Zürich-Schaffhausen,IR,Rollmaterial,2022-07-05 10:04:00,Schaffhausen,16,klar,2022
Zürich-Genève,IC,Infrastruktur,2022-07-05 12:34:00,Bern,16,Regen,2022
Zürich-Luzern,IC,Betrieb,2022-07-05 14:40:00,Zug,3,Regen,2022
Lugano-Locarno,RE,Anschlusswarten,2022-07-05 19:50:00,Lugano,11,klar,2022
Bern-Biel,IR,Extern,2022-07-05 22:10:00,Biel/Bienne,12,Regen,2022
Bern-Biel,IR,Anschlusswarten,2022-07-06 07:51:00,Lyss,15,klar,2022
S5 Bern,S,Anschlusswarten,2022-07-07 22:16:00,Burgdorf,8,klar,2022
Bern-Biel,IR,Rollmaterial,2022-07-09 14:51:00,Lyss,4,klar,2022
Basel-Lausanne,IC,Einsteigen,2022-07-09 19:16:00,Lausanne,2,klar,2022
Zürich-Chur,IC,Rollmaterial,2022-07-10 14:11:00,Chur,5,klar,2022
Zürich-Luzern,IC,Anschlusswarten,2022-07-11 16:25:00,Zürich HB,3,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-07-11 19:15:00,Zürich HB,25,klar,2022
Zürich-Bern,IC,Einsteigen,2022-07-14 07:18:00,Olten,2,klar,2022
Bern-Belp,RE,Infrastruktur,2022-07-14 21:44:00,Bern,9,Schnee,2022
Zürich-Genève,IC,Einsteigen,2022-07-16 07:09:00,Lausanne,7,Schnee,2022
Lugano-Locarno,RE,Anschlusswarten,2022-07-17 09:01:00,Locarno,2,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-07-17 13:26:00,Sargans,36,Regen,2022
S1 Lausanne,S,Anschlusswarten,2022-07-18 08:59:00,Yverdon,2,Regen,2022
Lausanne-Brig,IR,Betrieb,2022-07-19 06:30:00,Lausanne,5,klar,2022
Zürich-Luzern,IC,Infrastruktur,2022-07-19 10:15:00,Luzern,7,Regen,2022
S5 Bern,S,Extern,2022-07-19 13:20:00,Burgdorf,19,klar,2022
Zürich-Schaffhausen,IR,Extern,2022-07-20 12:58:00,Zürich HB,6,klar,2022
Zürich-Chur,IC,Rollmaterial,2022-07-20 14:00:00,Chur,17,klar,2022
Zürich-Luzern,IC,Infrastruktur,2022-07-20 14:21:00,Zürich HB,6,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-07-20 22:31:00,Zürich HB,2,klar,2022
S6 Basel,S,Anschlusswarten,2022-07-21 23:17:00,Basel SBB,7,Regen,2022
Genève-Lausanne,IC,Rollmaterial,2022-07-22 01:22:00,Nyon,2,klar,2022
Zürich-Bern,IC,Extern,2022-07-22 16:02:00,Bern,7,Regen,2022
Zürich-Bern,IC,Betrieb,2022-07-22 20:18:00,Bern,5,Regen,2022
Basel-Lausanne,IC,Infrastruktur,2022-07-23 06:39:00,Basel SBB,37,Schnee,2022
Basel-Lausanne,IC,Extern,2022-07-23 19:59:00,Bern,7,klar,2022
Genève-Lausanne,IC,Betrieb,2022-07-24 18:40:00,Lausanne,2,klar,2022
Zürich-Bern,IC,Anschlusswarten,2022-07-24 22:35:00,Zürich HB,6,Schnee,2022
Zürich-Luzern,IC,Einsteigen,2022-07-25 08:21:00,Zürich HB,6,Regen,2022
Basel-Olten,IC,Rollmaterial,2022-07-25 11:40:00,Olten,2,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-07-25 12:39:00,Genève,32,Regen,2022
S5 Bern,S,Infrastruktur,2022-07-27 05:10:00,Bern,8,Nebel,2022
Zürich-Genève,IC,Extern,2022-07-27 16:23:00,Genève,7,klar,2022
Lausanne-Brig,IR,Anschlusswarten,2022-07-27 22:14:00,Lausanne,7,klar,2022
Lugano-Locarno,RE,Rollmaterial,2022-07-27 22:28:00,Locarno,2,klar,2022
Basel-Lausanne,IC,Infrastruktur,2022-07-28 05:02:00,Lausanne,9,klar,2022
Bern-Biel,IR,Einsteigen,2022-07-29 10:25:00,Biel/Bienne,5,Regen,2022
Zürich-Schaffhausen,IR,Infrastruktur,2022-07-30 01:00:00,Bülach,5,Regen,2022
Zürich-Bern,IC,Betrieb,2022-07-30 06:45:00,Olten,36,Regen,2022
Bern-Biel,IR,Betrieb,2022-07-31 08:38:00,Biel/Bienne,10,Regen,2022
Olten-Zofingen,RE,Rollmaterial,2022-07-31 11:47:00,Olten,7,klar,2022
Olten-Zofingen,RE,Betrieb,2022-08-01 19:05:00,Olten,10,klar,2022
Bern-Brig,IC,Extern,2022-08-02 06:39:00,Spiez,5,klar,2022
Zürich-Chur,IC,Extern,2022-08-02 21:03:00,Zürich HB,36,klar,2022
Basel-Lausanne,IC,Einsteigen,2022-08-04 06:24:00,Lausanne,9,Regen,2022
Genève-Lausanne,IC,Einsteigen,2022-08-04 17:38:00,Nyon,3,klar,2022
Lausanne-Brig,IR,Anschlusswarten,2022-08-05 14:21:00,Sion,9,klar,2022
Bern-Belp,RE,Infrastruktur,2022-08-05 21:43:00,Bern,24,klar,2022
Zürich-Genève,IC,Betrieb,2022-08-06 12:21:00,Bern,12,Schnee,2022
Lausanne-Brig,IR,Extern,2022-08-07 06:28:00,Lausanne,17,Regen,2022
Bern-Biel,IR,Infrastruktur,2022-08-08 00:14:00,Lyss,16,klar,2022
Genève-Lausanne,IC,Anschlusswarten,2022-08-08 07:09:00,Genève,8,klar,2022
S2 Zürich,S,Extern,2022-08-08 19:54:00,Effretikon,2,klar,2022
Bern-Biel,IR,Infrastruktur,2022-08-08 23:39:00,Lyss,52,klar,2022
Olten-Zofingen,RE,Infrastruktur,2022-08-09 18:11:00,Zofingen,13,Regen,2022
Olten-Zofingen,RE,Rollmaterial,2022-08-09 18:37:00,Olten,12,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-08-10 12:36:00,Sargans,18,Regen,2022
Olten-Zofingen,RE,Extern,2022-08-11 11:16:00,Zofingen,10,klar,2022
Lugano-Locarno,RE,Anschlusswarten,2022-08-11 11:40:00,Lugano,11,klar,2022
Bern-Belp,RE,Rollmaterial,2022-08-11 21:59:00,Bern,3,klar,2022
Olten-Zofingen,RE,Anschlusswarten,2022-08-11 23:12:00,Olten,12,klar,2022
Bern-Brig,IC,Extern,2022-08-12 16:37:00,Brig,3,klar,2022
Olten-Zofingen,RE,Anschlusswarten,2022-08-12 18:29:00,Zofingen,2,Regen,2022
Lugano-Locarno,RE,Infrastruktur,2022-08-13 19:50:00,Lugano,17,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-08-13 23:53:00,Olten,3,Nebel,2022
Lausanne-Brig,IR,Extern,2022-08-15 18:09:00,Sion,24,Schnee,2022
Bern-Biel,IR,Betrieb,2022-08-17 14:11:00,Bern,3,klar,2022
Basel-Olten,IC,Infrastruktur,2022-08-18 09:04:00,Basel SBB,2,klar,2022
Zürich-Genève,IC,Betrieb,2022-08-18 10:32:00,Zürich HB,22,Schnee,2022
Bern-Biel,IR,Betrieb,2022-08-20 11:09:00,Biel/Bienne,2,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-08-20 15:09:00,Bern,8,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-08-21 05:43:00,Sargans,3,klar,2022
Zürich-Genève,IC,Extern,2022-08-21 16:36:00,Bern,3,klar,2022
Zürich-Bern,IC,Anschlusswarten,2022-08-22 22:30:00,Zürich HB,11,Nebel,2022
Zürich-Schaffhausen,IR,Einsteigen,2022-08-24 15:34:00,Zürich HB,7,Nebel,2022
Olten-Zofingen,RE,Extern,2022-08-24 20:25:00,Olten,9,klar,2022
Zürich-Luzern,IC,Rollmaterial,2022-08-25 11:39:00,Luzern,2,klar,2022
St. Gallen-Zürich,IR,Extern,2022-08-26 12:38:00,Zürich HB,14,Regen,2022
S1 Lausanne,S,Anschlusswarten,2022-08-26 20:01:00,Yverdon,18,Regen,2022
Lugano-Locarno,RE,Rollmaterial,2022-08-27 23:50:00,Lugano,32,klar,2022
Bern-Brig,IC,Betrieb,2022-08-28 08:06:00,Brig,5,klar,2022
Lugano-Locarno,RE,Extern,2022-08-28 20:51:00,Locarno,3,klar,2022
S1 Lausanne,S,Extern,2022-08-29 16:21:00,Lausanne,10,klar,2022
Zürich-Schaffhausen,IR,Extern,2022-08-29 18:02:00,Bülach,9,klar,2022
Bern-Brig,IC,Rollmaterial,2022-08-29 20:44:00,Spiez,2,Regen,2022
S5 Bern,S,Infrastruktur,2022-08-30 12:18:00,Bern,5,Schnee,2022
Zürich-Luzern,IC,Einsteigen,2022-08-31 05:26:00,Zug,2,Regen,2022
St. Gallen-Zürich,IR,Extern,2022-08-31 08:04:00,Zürich HB,7,Regen,2022
Lugano-Locarno,RE,Infrastruktur,2022-09-01 15:45:00,Locarno,7,klar,2022
Zürich-Chur,IC,Einsteigen,2022-09-01 18:29:00,Chur,14,klar,2022
Zürich-Luzern,IC,Extern,2022-09-01 21:08:00,Zürich HB,23,Regen,2022
Lugano-Locarno,RE,Betrieb,2022-09-02 06:06:00,Locarno,16,Regen,2022
Zürich-Schaffhausen,IR,Anschlusswarten,2022-09-02 07:42:00,Zürich HB,2,klar,2022
S2 Zürich,S,Rollmaterial,2022-09-02 15:27:00,Pfäffikon,5,Regen,2022
Bern-Belp,RE,Rollmaterial,2022-09-04 17:43:00,Bern,10,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-09-05 05:51:00,Genève,15,klar,2022
Basel-Olten,IC,Anschlusswarten,2022-09-05 08:40:00,Olten,19,klar,2022
Zürich-Schaffhausen,IR,Anschlusswarten,2022-09-06 08:19:00,Schaffhausen,6,klar,2022
Zürich-Luzern,IC,Einsteigen,2022-09-07 14:55:00,Luzern,2,klar,2022
Zürich-Chur,IC,Einsteigen,2022-09-08 09:33:00,Sargans,2,klar,2022
Zürich-Genève,IC,Betrieb,2022-09-10 15:48:00,Zürich HB,3,klar,2022
Bern-Brig,IC,Rollmaterial,2022-09-10 16:21:00,Brig,13,klar,2022
S1 Lausanne,S,Infrastruktur,2022-09-11 07:46:00,Yverdon,13,klar,2022
Genève-Lausanne,IC,Einsteigen,2022-09-11 15:56:00,Nyon,2,klar,2022
S1 Lausanne,S,Anschlusswarten,2022-09-12 07:51:00,Lausanne,19,klar,2022
S1 Lausanne,S,Einsteigen,2022-09-12 14:21:00,Lausanne,11,Nebel,2022
Zürich-Chur,IC,Infrastruktur,2022-09-12 15:28:00,Sargans,33,Nebel,2022
S6 Basel,S,Infrastruktur,2022-09-14 13:12:00,Pratteln,13,Regen,2022
Bern-Biel,IR,Einsteigen,2022-09-14 21:16:00,Lyss,5,Schnee,2022
Bern-Belp,RE,Infrastruktur,2022-09-14 22:39:00,Bern,7,klar,2022
Lugano-Locarno,RE,Extern,2022-09-14 23:18:00,Lugano,7,klar,2022
Olten-Zofingen,RE,Rollmaterial,2022-09-15 23:30:00,Zofingen,2,klar,2022
Bern-Belp,RE,Rollmaterial,2022-09-15 23:55:00,Belp,6,klar,2022
Zürich-Bern,IC,Rollmaterial,2022-09-16 05:31:00,Olten,32,klar,2022
Zürich-Bern,IC,Einsteigen,2022-09-16 15:12:00,Zürich HB,3,klar,2022
Zürich-Chur,IC,Einsteigen,2022-09-17 02:16:00,Chur,11,Nebel,2022
Zürich-Bern,IC,Einsteigen,2022-09-17 10:08:00,Olten,3,klar,2022
Bern-Brig,IC,Infrastruktur,2022-09-17 14:41:00,Brig,23,Regen,2022
Lugano-Locarno,RE,Betrieb,2022-09-18 05:44:00,Locarno,2,Regen,2022
Bern-Belp,RE,Infrastruktur,2022-09-19 13:48:00,Bern,32,klar,2022
Lausanne-Brig,IR,Infrastruktur,2022-09-19 19:56:00,Brig,7,klar,2022
S2 Zürich,S,Einsteigen,2022-09-20 18:41:00,Effretikon,6,klar,2022
S1 Lausanne,S,Infrastruktur,2022-09-22 11:28:00,Lausanne,6,Nebel,2022
Basel-Lausanne,IC,Anschlusswarten,2022-09-22 19:03:00,Lausanne,2,Schnee,2022
Zürich-Genève,IC,Anschlusswarten,2022-09-23 10:10:00,Bern,3,klar,2022
Olten-Zofingen,RE,Anschlusswarten,2022-09-23 13:46:00,Olten,2,klar,2022
Bern-Biel,IR,Infrastruktur,2022-09-23 17:40:00,Bern,2,klar,2022
St. Gallen-Zürich,IR,Einsteigen,2022-09-23 18:15:00,Winterthur,2,klar,2022
Bern-Brig,IC,Extern,2022-09-24 08:04:00,Brig,2,Regen,2022
S2 Zürich,S,Infrastruktur,2022-09-25 07:55:00,Zürich HB,5,klar,2022
Genève-Lausanne,IC,Extern,2022-09-26 08:48:00,Lausanne,17,klar,2022
Zürich-Chur,IC,Anschlusswarten,2022-09-26 14:18:00,Sargans,5,klar,2022
Basel-Olten,IC,Rollmaterial,2022-09-26 16:54:00,Olten,2,klar,2022
Zürich-Schaffhausen,IR,Extern,2022-09-28 12:44:00,Schaffhausen,9,klar,2022
Zürich-Schaffhausen,IR,Einsteigen,2022-09-28 19:28:00,Zürich HB,2,klar,2022
Genève-Lausanne,IC,Betrieb,2022-09-29 08:28:00,Genève,5,klar,2022
S1 Lausanne,S,Einsteigen,2022-09-29 18:54:00,Yverdon,2,Schnee,2022
S1 Lausanne,S,Rollmaterial,2022-10-01 05:35:00,Yverdon,6,klar,2022
S1 Lausanne,S,Extern,2022-10-01 13:59:00,Yverdon,15,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-10-01 14:56:00,Sargans,2,klar,2022
Zürich-Bern,IC,Rollmaterial,2022-10-02 06:37:00,Bern,2,klar,2022
Zürich-Schaffhausen,IR,Einsteigen,2022-10-02 16:25:00,Zürich HB,6,klar,2022
Basel-Olten,IC,Infrastruktur,2022-10-02 19:34:00,Basel SBB,14,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-10-03 09:16:00,Bern,2,klar,2022
Zürich-Genève,IC,Extern,2022-10-05 20:47:00,Genève,18,klar,2022
S1 Lausanne,S,Infrastruktur,2022-10-07 15:25:00,Yverdon,5,klar,2022
Zürich-Chur,IC,Betrieb,2022-10-08 06:38:00,Chur,11,klar,2022
Bern-Brig,IC,Betrieb,2022-10-08 20:09:00,Bern,29,Regen,2022
Zürich-Bern,IC,Anschlusswarten,2022-10-08 23:41:00,Olten,2,Regen,2022
Basel-Lausanne,IC,Extern,2022-10-09 10:26:00,Bern,52,Schnee,2022
S2 Zürich,S,Infrastruktur,2022-10-09 15:31:00,Effretikon,7,Regen,2022
Zürich-Luzern,IC,Anschlusswarten,2022-10-10 22:53:00,Luzern,12,klar,2022
S1 Lausanne,S,Betrieb,2022-10-11 08:12:00,Yverdon,6,klar,2022
Basel-Olten,IC,Extern,2022-10-11 13:34:00,Olten,10,klar,2022
Zürich-Bern,IC,Einsteigen,2022-10-12 22:17:00,Olten,2,Regen,2022
Zürich-Genève,IC,Rollmaterial,2022-10-14 20:11:00,Bern,2,Regen,2022
Zürich-Genève,IC,Anschlusswarten,2022-10-15 22:51:00,Genève,5,klar,2022
Zürich-Genève,IC,Infrastruktur,2022-10-17 20:02:00,Zürich HB,4,klar,2022
S2 Zürich,S,Einsteigen,2022-10-17 21:50:00,Zürich HB,13,klar,2022
Lausanne-Brig,IR,Rollmaterial,2022-10-18 06:30:00,Sion,2,klar,2022
Bern-Belp,RE,Extern,2022-10-18 11:17:00,Belp,2,Schnee,2022
S2 Zürich,S,Betrieb,2022-10-18 14:52:00,Effretikon,2,klar,2022
Genève-Lausanne,IC,Einsteigen,2022-10-18 18:15:00,Nyon,8,Regen,2022
Basel-Olten,IC,Einsteigen,2022-10-19 18:03:00,Olten,9,klar,2022
Zürich-Genève,IC,Einsteigen,2022-10-19 20:05:00,Bern,5,klar,2022
Lausanne-Brig,IR,Betrieb,2022-10-20 12:23:00,Sion,7,Regen,2022
Bern-Belp,RE,Rollmaterial,2022-10-22 23:08:00,Belp,10,klar,2022
Zürich-Chur,IC,Extern,2022-10-23 15:01:00,Zürich HB,3,klar,2022
Bern-Brig,IC,Infrastruktur,2022-10-23 15:25:00,Bern,21,klar,2022
Basel-Lausanne,IC,Extern,2022-10-23 20:04:00,Bern,6,Schnee,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-10-24 05:50:00,St. Gallen,3,Schnee,2022
Basel-Olten,IC,Einsteigen,2022-10-26 19:33:00,Liestal,2,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-10-27 12:14:00,Zürich HB,2,klar,2022
Bern-Belp,RE,Anschlusswarten,2022-10-27 16:03:00,Bern,26,Regen,2022
Basel-Lausanne,IC,Infrastruktur,2022-10-27 20:50:00,Lausanne,7,Regen,2022
S1 Lausanne,S,Extern,2022-10-28 02:01:00,Lausanne,3,Regen,2022
Bern-Brig,IC,Extern,2022-10-28 05:19:00,Brig,15,klar,2022
S6 Basel,S,Betrieb,2022-10-28 23:34:00,Pratteln,3,Regen,2022
Bern-Brig,IC,Extern,2022-10-30 08:45:00,Brig,9,klar,2022
Bern-Belp,RE,Infrastruktur,2022-10-31 15:24:00,Belp,4,Regen,2022
Zürich-Genève,IC,Extern,2022-11-01 12:02:00,Lausanne,2,Regen,2022
Bern-Biel,IR,Anschlusswarten,2022-11-01 14:46:00,Biel/Bienne,6,klar,2022
Bern-Belp,RE,Anschlusswarten,2022-11-01 14:51:00,Belp,4,klar,2022
Basel-Lausanne,IC,Extern,2022-11-04 06:05:00,Lausanne,26,Nebel,2022
Bern-Brig,IC,Betrieb,2022-11-05 11:07:00,Bern,2,klar,2022
Bern-Biel,IR,Anschlusswarten,2022-11-06 23:28:00,Lyss,12,Schnee,2022
Bern-Brig,IC,Rollmaterial,2022-11-07 02:02:00,Spiez,2,Regen,2022
Olten-Zofingen,RE,Infrastruktur,2022-11-07 05:25:00,Zofingen,9,klar,2022
Basel-Lausanne,IC,Infrastruktur,2022-11-08 05:23:00,Bern,42,Schnee,2022
Zürich-Genève,IC,Betrieb,2022-11-08 07:14:00,Bern,4,klar,2022
Bern-Biel,IR,Extern,2022-11-08 17:51:00,Bern,20,Nebel,2022
S2 Zürich,S,Anschlusswarten,2022-11-09 18:10:00,Effretikon,3,Regen,2022
Bern-Belp,RE,Infrastruktur,2022-11-10 13:52:00,Belp,5,klar,2022
Zürich-Chur,IC,Extern,2022-11-10 17:40:00,Chur,20,Regen,2022
Bern-Belp,RE,Extern,2022-11-10 20:48:00,Bern,23,klar,2022
S1 Lausanne,S,Infrastruktur,2022-11-11 19:41:00,Yverdon,29,klar,2022
Bern-Biel,IR,Einsteigen,2022-11-12 08:25:00,Bern,2,Nebel,2022
S6 Basel,S,Infrastruktur,2022-11-12 16:12:00,Basel SBB,2,klar,2022
Olten-Zofingen,RE,Extern,2022-11-13 05:15:00,Zofingen,2,klar,2022
Bern-Brig,IC,Rollmaterial,2022-11-13 07:09:00,Spiez,33,Schnee,2022
Zürich-Genève,IC,Betrieb,2022-11-13 08:43:00,Genève,8,Nebel,2022
S6 Basel,S,Infrastruktur,2022-11-13 09:45:00,Basel SBB,9,klar,2022
S1 Lausanne,S,Anschlusswarten,2022-11-13 18:50:00,Yverdon,4,klar,2022
Zürich-Bern,IC,Anschlusswarten,2022-11-13 22:28:00,Bern,2,klar,2022
Zürich-Luzern,IC,Anschlusswarten,2022-11-14 09:13:00,Luzern,2,klar,2022
Basel-Olten,IC,Infrastruktur,2022-11-14 10:28:00,Olten,7,Regen,2022
S5 Bern,S,Rollmaterial,2022-11-15 15:36:00,Burgdorf,22,klar,2022
Basel-Olten,IC,Betrieb,2022-11-16 16:42:00,Basel SBB,23,klar,2022
S6 Basel,S,Rollmaterial,2022-11-17 09:40:00,Basel SBB,5,Nebel,2022
Bern-Belp,RE,Infrastruktur,2022-11-18 10:04:00,Belp,11,klar,2022
Zürich-Genève,IC,Betrieb,2022-11-18 15:31:00,Bern,6,klar,2022
Zürich-Genève,IC,Rollmaterial,2022-11-18 16:46:00,Bern,10,klar,2022
Zürich-Chur,IC,Einsteigen,2022-11-18 18:02:00,Chur,2,Regen,2022
Bern-Brig,IC,Betrieb,2022-11-19 08:37:00,Bern,32,Nebel,2022
Zürich-Bern,IC,Infrastruktur,2022-11-19 14:35:00,Zürich HB,6,klar,2022
Zürich-Genève,IC,Rollmaterial,2022-11-23 11:41:00,Lausanne,2,Regen,2022
Zürich-Schaffhausen,IR,Anschlusswarten,2022-11-23 16:39:00,Schaffhausen,3,klar,2022
Basel-Olten,IC,Betrieb,2022-11-23 22:08:00,Olten,2,Regen,2022
Bern-Brig,IC,Rollmaterial,2022-11-24 18:29:00,Brig,9,klar,2022
Bern-Brig,IC,Anschlusswarten,2022-11-24 23:55:00,Bern,6,Regen,2022
Bern-Brig,IC,Extern,2022-11-25 08:15:00,Spiez,15,Nebel,2022
Basel-Olten,IC,Betrieb,2022-11-25 11:19:00,Olten,2,Schnee,2022
S2 Zürich,S,Anschlusswarten,2022-11-25 16:58:00,Zürich HB,8,klar,2022
Zürich-Bern,IC,Einsteigen,2022-11-26 08:46:00,Olten,2,klar,2022
Genève-Lausanne,IC,Extern,2022-11-26 19:01:00,Genève,2,Regen,2022
Bern-Belp,RE,Anschlusswarten,2022-11-27 07:46:00,Bern,7,Regen,2022
Lausanne-Brig,IR,Infrastruktur,2022-11-27 12:42:00,Sion,5,Regen,2022
Bern-Biel,IR,Extern,2022-11-29 13:56:00,Lyss,8,klar,2022
S2 Zürich,S,Extern,2022-12-01 11:41:00,Effretikon,2,Schnee,2022
Zürich-Schaffhausen,IR,Infrastruktur,2022-12-03 05:48:00,Zürich HB,15,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-12-03 10:11:00,Chur,6,klar,2022
Lugano-Locarno,RE,Infrastruktur,2022-12-04 14:47:00,Lugano,19,klar,2022
Bern-Brig,IC,Infrastruktur,2022-12-06 05:25:00,Bern,5,klar,2022
Zürich-Genève,IC,Extern,2022-12-06 15:40:00,Zürich HB,9,Schnee,2022
S6 Basel,S,Infrastruktur,2022-12-07 08:55:00,Basel SBB,2,Nebel,2022
Olten-Zofingen,RE,Einsteigen,2022-12-07 18:53:00,Zofingen,2,klar,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-12-08 10:03:00,Zürich HB,5,Regen,2022
Genève-Lausanne,IC,Infrastruktur,2022-12-08 21:03:00,Lausanne,23,klar,2022
Zürich-Bern,IC,Betrieb,2022-12-09 06:54:00,Zürich HB,2,klar,2022
Bern-Belp,RE,Extern,2022-12-10 18:22:00,Belp,33,klar,2022
Olten-Zofingen,RE,Anschlusswarten,2022-12-10 20:15:00,Olten,5,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-12-10 23:38:00,Nyon,4,klar,2022
Basel-Olten,IC,Betrieb,2022-12-11 10:58:00,Olten,2,klar,2022
Genève-Lausanne,IC,Extern,2022-12-12 17:55:00,Nyon,2,Schnee,2022
Olten-Zofingen,RE,Infrastruktur,2022-12-12 21:03:00,Zofingen,4,klar,2022
Genève-Lausanne,IC,Einsteigen,2022-12-13 06:41:00,Nyon,3,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-12-13 19:37:00,Bern,13,Nebel,2022
S2 Zürich,S,Betrieb,2022-12-14 05:28:00,Effretikon,2,klar,2022
S1 Lausanne,S,Rollmaterial,2022-12-15 05:19:00,Yverdon,3,klar,2022
Zürich-Schaffhausen,IR,Einsteigen,2022-12-15 19:25:00,Zürich HB,2,klar,2022
Basel-Olten,IC,Extern,2022-12-17 08:32:00,Olten,17,klar,2022
Lugano-Locarno,RE,Extern,2022-12-17 19:20:00,Lugano,2,klar,2022
St. Gallen-Zürich,IR,Betrieb,2022-12-17 21:03:00,Winterthur,5,klar,2022
Zürich-Genève,IC,Extern,2022-12-18 18:33:00,Bern,4,klar,2022
Basel-Lausanne,IC,Infrastruktur,2022-12-23 09:11:00,Lausanne,4,klar,2022
Zürich-Luzern,IC,Anschlusswarten,2022-12-23 15:42:00,Zürich HB,2,klar,2022
S6 Basel,S,Infrastruktur,2022-12-24 04:35:00,Basel SBB,33,klar,2022
S6 Basel,S,Rollmaterial,2022-12-25 08:10:00,Basel SBB,2,Regen,2022
S6 Basel,S,Anschlusswarten,2022-12-25 08:38:00,Basel SBB,4,Schnee,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-12-25 08:56:00,St. Gallen,4,klar,2022
Basel-Olten,IC,Extern,2022-12-25 14:31:00,Olten,2,Regen,2022
Lugano-Locarno,RE,Infrastruktur,2022-12-25 20:08:00,Locarno,34,Nebel,2022
Zürich-Schaffhausen,IR,Einsteigen,2022-12-26 09:36:00,Schaffhausen,22,klar,2022
S2 Zürich,S,Extern,2022-12-26 12:38:00,Zürich HB,23,klar,2022
Zürich-Genève,IC,Infrastruktur,2022-12-28 05:34:00,Genève,13,klar,2022
Bern-Biel,IR,Infrastruktur,2022-12-28 12:32:00,Biel/Bienne,7,klar,2022
Basel-Lausanne,IC,Anschlusswarten,2022-12-29 12:29:00,Lausanne,11,klar,2022
Genève-Lausanne,IC,Betrieb,2022-12-30 18:21:00,Nyon,2,klar,2022
St. Gallen-Zürich,IR,Rollmaterial,2022-12-31 16:52:00,St. Gallen,20,Regen,2022
S6 Basel,S,Infrastruktur,2023-01-01 05:58:00,Basel SBB,24,klar,2023
Lausanne-Brig,IR,Infrastruktur,2023-01-01 14:51:00,Brig,31,Nebel,2023
Bern-Belp,RE,Betrieb,2023-01-01 21:19:00,Belp,3,klar,2023
St. Gallen-Zürich,IR,Rollmaterial,2023-01-02 10:12:00,Zürich HB,2,klar,2023
Bern-Brig,IC,Einsteigen,2023-01-03 19:46:00,Spiez,2,klar,2023
Basel-Lausanne,IC,Infrastruktur,2023-01-03 23:01:00,Basel SBB,13,klar,2023
Zürich-Luzern,IC,Rollmaterial,2023-01-05 13:55:00,Luzern,5,Regen,2023
Lausanne-Brig,IR,Extern,2023-01-06 12:45:00,Lausanne,16,klar,2023
